price,bed,bath,surface_area,Bantul,Gunung Kidul,Kulon Progo,Sleman,Yogyakarta
2170000000,4,3,200.0,False,False,False,True,False
1470000000,4,3,146.0,False,False,False,True,False
1700000000,4,5,111.0,False,False,False,True,False
640000000,2,1,95.0,False,False,False,True,False
2049999999,4,4,160.0,False,False,False,True,False
1800000000,20,20,217.0,False,False,False,True,False
925000000,2,1,101.0,False,False,False,True,False
575000000,3,3,80.0,False,False,False,True,False
975000000,3,2,128.0,False,False,False,True,False
975000000,3,2,121.0,False,False,False,True,False
4500000000,3,3,584.0,False,False,False,True,False
675000000,2,1,121.0,False,False,False,True,False
4500000000,6,4,334.0,False,False,False,True,False
999000000,3,4,103.0,False,False,False,True,False
730000000,3,2,100.0,False,False,False,True,False
1300000000,3,2,134.0,False,False,False,True,False
1100000000,3,2,160.0,False,False,False,True,False
592000000,2,1,104.0,False,False,False,True,False
3300000000,5,5,254.0,False,False,False,True,False
520000000,2,1,90.0,False,False,False,True,False
1950000000,11,11,150.0,False,False,False,True,False
450000000,2,1,82.0,False,False,False,True,False
5700000000,7,8,482.0,False,False,False,True,False
950000000,3,2,120.0,False,False,False,True,False
850000000,2,1,125.0,False,False,False,True,False
910000000,4,2,106.0,False,False,False,True,False
2500000000,3,3,170.0,False,False,False,True,False
2750000000,5,5,226.0,False,False,False,True,False
2200000000,5,4,150.0,False,False,False,True,False
3000000000,4,3,216.0,False,False,False,True,False
2360000000,4,3,182.0,False,False,False,True,False
375000000,2,1,72.0,False,False,False,True,False
949000000,4,4,90.0,False,False,False,True,False
2000000000,3,2,210.0,False,False,False,True,False
2000000000,4,3,134.0,False,False,False,True,False
2000000000,4,3,158.0,False,False,False,True,False
1700000000,3,1,223.0,False,False,False,True,False
1750000000,4,3,163.0,False,False,False,True,False
1700000000,4,3,110.0,False,False,False,True,False
1600000000,3,2,104.0,False,False,False,True,False
1800000000,3,2,164.0,False,False,False,True,False
999000000,3,3,103.0,False,False,False,True,False
1600000000,3,3,146.0,False,False,False,True,False
750000000,3,2,102.0,False,False,False,True,False
999000000,3,3,103.0,False,False,False,True,False
6850000000,16,16,866.0,False,False,False,True,False
950000000,3,2,115.0,False,False,False,True,False
1500000000,3,2,112.0,False,False,False,True,False
1950000000,3,3,188.0,False,False,False,True,False
890000000,3,2,107.0,False,False,False,True,False
1950000000,3,2,128.0,False,False,False,True,False
3100000000,13,13,223.0,False,False,False,True,False
785000000,2,2,96.0,False,False,False,True,False
1100000000,3,2,160.0,False,False,False,True,False
1400000000,3,2,174.0,False,False,False,True,False
725000000,3,2,87.0,False,False,False,True,False
961000000,3,3,107.0,False,False,False,True,False
750000000,2,1,111.0,False,False,False,True,False
4500000000,4,2,410.0,False,False,False,True,False
560000000,2,2,104.0,False,False,False,True,False
1400000000,3,2,205.0,False,False,False,True,False
1500000000,3,3,150.0,False,False,False,True,False
1690000000,3,3,150.0,False,False,False,True,False
750000000,3,1,103.0,False,False,False,True,False
475000000,2,1,104.0,False,False,False,True,False
5500000000,10,11,586.0,False,False,False,True,False
2400000000,4,3,187.0,False,False,False,True,False
2360000000,4,3,182.0,False,False,False,True,False
910000000,4,2,106.0,False,False,False,True,False
2480000000,4,3,196.0,False,False,False,True,False
2540000000,4,3,200.0,False,False,False,True,False
2400000000,4,3,187.0,False,False,False,True,False
2460000000,4,3,196.0,False,False,False,True,False
