price,listing-location,bed,bath,surface_area,location
1100000000,"Ngaglik, Sleman",4,2,115.0,Sleman
720000000,"Kalasan, Sleman",3,2,87.0,Sleman
720000000,"Kalasan, Sleman",3,2,87.0,Sleman
2300000000,"Depok, Sleman",4,3,160.0,Sleman
399000000,"Gamping, Sleman",2,2,100.0,Sleman
1350000000,"Wirobrajan, Yogyakarta",3,2,105.0,Yogyakarta
1500000000,"Turi, Sleman",3,2,976.0,Sleman
1300000000,"Wirobrajan, Yogyakarta",3,2,161.0,Yogyakarta
875000000,"Mantrijeron, Yogyakarta",3,2,85.0,Yogyakarta
235000000,"Prambanan, Sleman",2,1,73.0,Sleman
799000000,"Mantrijeron, Yogyakarta",3,1,119.0,Yogyakarta
2200000000,"Mlati, Sleman",11,11,133.0,Sleman
1000000000,"Wirobrajan, Yogyakarta",5,3,180.0,Yogyakarta
950000000,"Kasihan, Bantul",3,1,108.0,Bantul
998000000,"Maguwoharjo, Yogyakarta",3,3,103.0,Yogyakarta
8000000000,"Pogung, Yogyakarta",7,4,1300.0,Yogyakarta
1300000000,"Mantrijeron, Yogyakarta",5,2,112.0,Yogyakarta
1300000000,"Mantrijeron, Yogyakarta",5,4,150.0,Yogyakarta
2430000000,"Sleman, Sleman",4,3,192.0,Sleman
302000000,"Kaliurang, Yogyakarta",3,2,121.0,Yogyakarta
480000000,"Kasihan, Bantul",3,1,98.0,Bantul
1000000000,"Sedayu, Bantul",7,5,110.0,Bantul
1500000000,"Maguwoharjo, Yogyakarta",3,4,151.0,Yogyakarta
2650000000,"Sleman, Sleman",4,3,213.0,Sleman
2950000000,"Depok, Sleman",15,15,200.0,Sleman
155000000,"Ngaglik, Sleman",2,1,88.0,Sleman
2100000000,"Gamping, Sleman",3,2,223.0,Sleman
2490000000,"Sleman, Sleman",4,3,200.0,Sleman
591000000,"Sleman, Sleman",2,1,84.0,Sleman
1350000000,"Gamping, Sleman",5,3,156.0,Sleman
650000000,"Tempel, Sleman",5,2,161.0,Sleman
571000000,"Sleman, Sleman",2,1,79.0,Sleman
1380000000,"Sleman, Sleman",3,2,103.0,Sleman
325000000,"Kulonprogo, Kulon Progo",2,1,70.0,Kulon Progo
337000000,"Kulonprogo, Kulon Progo",2,1,74.0,Kulon Progo
331000000,"Kulonprogo, Kulon Progo",2,1,72.0,Kulon Progo
